4,3,1.14,Granby,Connecticut,6060,2203,375000
3,1,1.3,Granby,Connecticut,6035,1550,229000
3,2,0.12,Simsbury,Connecticut,6081,1416,219900
3,1,0.35,Winchester,Connecticut,6098,1183,175000
3,3,0.79,East Windsor,Connecticut,6016,1885,369900
3,2,0.78,Simsbury,Connecticut,6070,1260,275000
4,3,0.24,Enfield,Connecticut,6082,2204,171000
3,4,3.75,Barkhamsted,Connecticut,6063,3482,539900
4,5,13.75,Granby,Connecticut,6060,4848,1225000
3,3,0.91,Simsbury,Connecticut,6070,1875,395000
3,1,0.32,Enfield,Connecticut,6082,1576,225000
3,2,0.12,Enfield,Connecticut,6082,1504,224900
3,2,0.8,Granby,Connecticut,6035,1574,324900
4,3,0.57,Simsbury,Connecticut,6070,2304,409000
4,3,2.11,Barkhamsted,Connecticut,6063,2626,569000
3,2,0.29,Enfield,Connecticut,6082,1587,274900
3,1,0.37,Enfield,Connecticut,6082,960,199900
3,2,0.12,Enfield,Connecticut,6082,1479,290000
3,2,0.22,Enfield,Connecticut,6082,1428,249900
4,3,0.46,Windsor,Connecticut,6095,1784,395000
3,3,1.03,Windsor,Connecticut,6095,1955,499900
4,5,1.53,Simsbury,Connecticut,6070,4715,799000
3,1,0.28,Enfield,Connecticut,6082,968,260000
3,2,0.29,Enfield,Connecticut,6082,1008,290000
5,2,0.28,Winchester,Connecticut,6098,2500,249500
3,1,0.35,Windsor Locks,Connecticut,6096,996,269900
3,2,0.56,Enfield,Connecticut,6082,1480,339999
6,2,0.24,Enfield,Connecticut,6082,2296,195000
5,4,3.4,Suffield,Connecticut,6078,3927,1350000
3,2,0.14,Enfield,Connecticut,6082,1456,295000
3,1,0.07,Norfolk,Connecticut,6058,1084,122500
3,1,0.25,Winchester,Connecticut,6098,1594,178200
3,2,1.01,North Canaan,Connecticut,6018,1608,275000
3,2,0.28,East Granby,Connecticut,6026,1520,249900
4,2,0.41,Simsbury,Connecticut,6081,1609,339900
3,2,0.48,East Granby,Connecticut,6026,1470,279900
5,4,0.34,Winchester,Connecticut,6098,2526,269900
3,1,0.48,Enfield,Connecticut,6082,1296,239900
3,3,2.7,Barkhamsted,Connecticut,6063,1434,249500
4,3,4.52,Suffield,Connecticut,6078,3589,979900
5,4,8.12,Winchester,Connecticut,6098,3075,1175000
3,1,0.4,Windsor Locks,Connecticut,6096,1084,219999
5,4,2.6,North Canaan,Connecticut,6024,3810,479000
3,1,0.29,Enfield,Connecticut,6082,1008,200000
3,2,0.41,Enfield,Connecticut,6082,1200,324900
3,3,2.16,Barkhamsted,Connecticut,6063,2007,525000
9,3,0.2,Enfield,Connecticut,6082,2928,279500
2,1,5.95,Colebrook,Connecticut,6021,952,199900
4,2,0.26,Windsor Locks,Connecticut,6096,2320,209900
4,2,0.92,Granby,Connecticut,6060,1982,350000
3,2,0.17,Windsor Locks,Connecticut,6096,1665,249900
3,2,2.59,Winchester,Connecticut,6098,1606,349900
3,3,0.72,Granby,Connecticut,6035,1902,349900
6,2,0.12,Enfield,Connecticut,6082,2478,165000
3,2,0.34,East Granby,Connecticut,6026,1512,295000
3,1,0.43,Enfield,Connecticut,6082,1055,219000
3,3,0.48,Windsor Locks,Connecticut,6096,1708,335000
4,2,0.25,Enfield,Connecticut,6082,1464,260000
4,5,2.03,Granby,Connecticut,6035,3992,729900
3,2,0.3,Enfield,Connecticut,6082,1278,259900
4,2,27.13,Winchester,Connecticut,6098,2033,680000
4,1,0.29,Enfield,Connecticut,6082,1512,280000
4,2,23,North Canaan,Connecticut,6024,2352,230000
3,2,0.26,Winchester,Connecticut,6098,1654,169000
4,2,0.35,Windsor Locks,Connecticut,6096,1280,115000
4,3,1.4,East Granby,Connecticut,6026,4250,475000
3,1,0.16,Winchester,Connecticut,6098,1384,129000
4,4,3.71,Granby,Connecticut,6090,3953,650000
4,4,0.66,Windsor,Connecticut,6095,2652,279900
3,2,0.35,Suffield,Connecticut,6078,1864,359800
3,3,0.64,Suffield,Connecticut,6078,1481,345000
4,4,2.94,Granby,Connecticut,6035,3138,625000
10,4,1.09,East Windsor,Connecticut,6088,4816,440000
3,2,0.12,Enfield,Connecticut,6082,1056,209000
3,3,1.03,Suffield,Connecticut,6078,1310,375000
4,3,3.8,Barkhamsted,Connecticut,6063,2795,583000
4,2,0.3,Enfield,Connecticut,6082,1819,284900
3,2,0.46,Enfield,Connecticut,6082,1469,329000
4,3,1.94,Granby,Connecticut,6060,3000,625000
4,3,0.42,Winchester,Connecticut,6098,2262,257500
3,2,1.15,Barkhamsted,Connecticut,6063,1440,299000
3,3,1.8,Canton,Connecticut,6019,1960,339900
3,3,0.69,Granby,Connecticut,6035,1164,365000
4,2,0.59,Suffield,Connecticut,6078,2091,399700
3,2,0.46,Enfield,Connecticut,6082,1236,289900
4,3,0.79,Suffield,Connecticut,6078,2491,519900
4,2,0.69,Enfield,Connecticut,6082,1974,375000
3,2,0.63,Enfield,Connecticut,6082,1308,269900
4,2,3.73,Norfolk,Connecticut,6058,2650,695000
2,1,0.53,Simsbury,Connecticut,6070,722,200000
4,4,1.38,Suffield,Connecticut,6078,4089,827000
3,2,0.33,Windsor Locks,Connecticut,6096,1098,179900
3,2,0.76,Windsor Locks,Connecticut,6096,1680,299900
3,2,55,Winchester,Connecticut,6098,1744,550000
4,2,0.42,Enfield,Connecticut,6082,1666,269900
2,2,0.28,Windsor Locks,Connecticut,6096,947,247900
